ID,TITLE,LOCATION,SALARY,SUMMARY
kr.indeed.com/viewjob?jk=fec4bd361c177418,Associate Cloud Developer,Amazon Web Services Korea LLC 서울,,"languages: Java, Python, Ruby, Node.js... 동등한 수준의 STEM 관련 분야 학사 학위 혹은 경험 · Java, Python, Ruby, Node.js, C # 또는 C ++ 중 하나 이상의..."
kr.indeed.com/viewjob?jk=7a10f3521337083b,"Perception Engineer, Deep Learning - Aut...",NVIDIA 서울,,"PyTorch, etc). Strong programming skills in C++... python. Outstanding communication and collaboration skills as we..."
kr.indeed.com/viewjob?jk=f5f5f902d240ac96,Data Scientist,Toss 서울 강남구,,"또는 실무 경험 5년 이상 갖춘 분 - 실제 서비스 데이터를 이용한 분석모델 개발 경험이 있는 분 - R, Python, Scala, SQL 등 데이터 분석의 업무를 수행할 수 있는 하나 이상의 개발 언어에 능숙한 분 #..."
kr.indeed.com/viewjob?jk=d13fce11058e6cf1,보안 모니터링 시스템 개발 및 운영 담당자 모집,카카오 4.0 성남 판교역,,"이터 분석을 위한 SIEM/ETL 플랫폼 개발/운영 지원자격 기본사항 경력 3년 이상 Java, Python 등의 언어로 개발 가능자 기본적인 웹 개발 및 Back-End 개발 가능자 DBMS 혹은 빅데이터(NoSQL..."
kr.indeed.com/viewjob?jk=d69b5a1e60c65ce6,데이터 마케팅 경력사원,LG전자 3.8 서울 영등포구,,"경험 보유자 - 통계/개발 Tool 활용 능력 보유자 (SQL, R, Python, Scalar, Hadoop 등) 3) 우대 사항 - 높은 통계... 운영 경험자 - SQL, R, Python 등 통계 패키지 활용 자격증..."
kr.indeed.com/viewjob?jk=3e80435be74cd28f,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원 광주 북구,,업무) 지원자격 연구직 O명 블록체인 연구 및 프로그래밍 제작 1) SW프로그래밍 제작 경험자 2) Python/C/Java/Go 프로그래밍 가능자 3) 블록체인 개발 경험자 우대 4) 컴퓨터공학 및 컴퓨터사이...
kr.indeed.com/viewjob?jk=7df915e1f0f86b2d,Software Architecture 설계 엔지니어,딥엑스 성남 분당구,"연봉 40,000,000원 - 100,000,000원",경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
kr.indeed.com/viewjob?jk=e8ff70f4dd69a226,플랫폼 개발,NHN 4.4 성남 판교역,,"개발 - C/C++ 또는 Java/ Python 개발 경력 5년 이상... RabbitMQ 등의 메시지 큐를 이용한 개발 경험 - C/C++, Python 등의 다양한 개발 언어 구사 함께 만들고 싶습니다..."
kr.indeed.com/viewjob?jk=ab8b221932fe27ef,[개발]E-Commerce 데이터 엔지니어/NLP개발자(정규직),위메프 2.8 대한민국,,개발 경력 3년 이상 - 분산파일 시스템 Hadoop 및 Spark 경험이 있는 분 - Java 및 Python 개발 능력을 보유한 분(중급 이상) - Hadoop Ecosysterm 운영 및 유지보수 경험이 있는 분...
kr.indeed.com/viewjob?jk=dee1c9e840dc5691,"Field Application Engineer, Audio Implem...",Dolby 서울,,"Dolby’s ecosystem, products, business, and customers. Python coding skills. Interest in music, game/film audio or video..."
kr.indeed.com/viewjob?jk=4910d33b5b470a5f,[Clova CIC] AI/ML 개발 인턴사원 (체험형),네이버 서울,,"대한 기본 지식 - PyTorch나 Tensorflow와 같은 딥러닝 프레임워크에 대한 지식 및 개발 경험 - Python을 사용한 소프트웨어 개발 경험 우대사항 - 컴퓨터과학, 컴퓨터 엔지니어링, 수학 및 관련 분야 전공..."
kr.indeed.com/viewjob?jk=65da831cb9d5a6b5,DGIST 계약직 연구원 및 일반직원 초빙 공고,대구경북과학기술원 대구 현풍면,,"구축 및 생물학 데이터 분석 Tool 개발 및 유지 다양한 프로그래밍(Java, Perl, C++, Python) 우대 사항 관련 분야 석사학위 소지자 유전체, 단백체, 대사체 데이터 분석 유경험자(3년 이상..."
kr.indeed.com/viewjob?jk=61de44a2ade660a0,정보보호 컨설팅 전문가 양성 과정,한국정보보호산업협회 서울,,로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP.NET|인터넷·IT·통신·모바일·게임>웹프로그래머...
kr.indeed.com/viewjob?jk=db55ee61f98e6816,DGIST 동반진단의료기술융합연구실 계약직 연구원 채용 공고,대구경북과학기술원 대구 현풍면,,데이터 통계 분석 AI 기반 데이터 분석을 위한 대용량 고속 데이터 처리 DB 구축 우대 사항 Python/Jave 기반 생체 정보 데이터 분석 경험자 대용량 고속 데이터 처리 DB 구축 경험자 급여수준...
kr.indeed.com/viewjob?jk=409c1253b2dde75b,동국대학교 데이터분석팀 연구원(계약직) 채용공고,동국대학교 4.3 서울 필동,,"자 4) 남자의 경우 병역필 또는 면제자 5) 한글, MS OFFICE 등 기본 문서작업 가능자 6) Python, R 프로그래밍 언어 사용 가능자 우대 2. 모집인원 : O명 3. 근무조건 및 계약기간 구 분..."
kr.indeed.com/viewjob?jk=e27c921dfbf357ac,네이버 클라우드 플랫폼 기술지원,NIT Service 성남 삼평동,,"클라우드 서비스 운영 경험 (AWS, Azure, KT Cloud 등) - Shell Script, Python 활용 가능 - 국가보훈대상자 및 장애인은 법령에 의거 우대 (※입사지원 시 보훈/장애사항 체크 필수..."
